,Rank,Hotel Name,Rate,Site Link
116,117,Rodeway Inn Canoga Park,1.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d5556244-Reviews-Rodeway_Inn_Canoga_Park-Los_Angeles_California.html
117,118,Hollywood and Highland Hotel and Hostel,2.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1150817-Reviews-Hollywood_and_Highland_Hotel_and_Hostel-Los_Angeles_California.html
118,119,Hometown Inn,2.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d271479-Reviews-Hometown_Inn-Los_Angeles_California.html
119,120,Legend Hotel Hollywood,0 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d17352632-Reviews-Legend_Hotel_Hollywood-Los_Angeles_California.html
120,121,Best Western Canoga Park Motor Inn,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d76325-Reviews-Best_Western_Canoga_Park_Motor_Inn-Los_Angeles_California.html
121,122,Trylon Hotel,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1633382-Reviews-Trylon_Hotel-Los_Angeles_California.html
122,123,Friendship Motor Inn,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d3386634-Reviews-Friendship_Motor_Inn-Los_Angeles_California.html
123,124,Super 8 by Wyndham Los Angeles-Culver City Area,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d248239-Reviews-Super_8_by_Wyndham_Los_Angeles_Culver_City_Area-Los_Angeles_California.html
124,125,Elaine's Hollywood Bed and Breakfast,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d119429-Reviews-Elaine_s_Hollywood_Bed_and_Breakfast-Los_Angeles_California.html
125,126,Holiday Inn Express Van Nuys,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d82494-Reviews-Holiday_Inn_Express_Van_Nuys-Los_Angeles_California.html
126,127,Encore Motel,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d2698092-Reviews-Encore_Motel-Los_Angeles_California.html
127,128,Avenue Hotel an Ascend Hotel Collection,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d84553-Reviews-Avenue_Hotel_an_Ascend_Hotel_Collection-Los_Angeles_California.html
128,129,Hometel Suites,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d6220094-Reviews-Hometel_Suites-Los_Angeles_California.html
129,130,Oxford Palace Hotel,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d84483-Reviews-Oxford_Palace_Hotel-Los_Angeles_California.html
130,131,Knights Inn Woodland Hills,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1007413-Reviews-Knights_Inn_Woodland_Hills-Los_Angeles_California.html
131,132,El Rancho Motel,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d4256935-Reviews-El_Rancho_Motel-Los_Angeles_California.html
132,133,Hyde Park Motel,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d3460043-Reviews-Hyde_Park_Motel-Los_Angeles_California.html
133,134,The Prospect Hollywood,5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d19906810-Reviews-The_Prospect_Hollywood-Los_Angeles_California.html
134,135,24 Hour motel,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d12393208-Reviews-24_Hour_motel-Los_Angeles_California.html
135,136,Little Tokyo Hotel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1631162-Reviews-Little_Tokyo_Hotel-Los_Angeles_California.html
136,137,8th and Ardmore,5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d19105114-Reviews-8th_and_Ardmore-Los_Angeles_California.html
137,138,Showtime Motel,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d13369565-Reviews-Showtime_Motel-Los_Angeles_California.html
138,139,Holiday Inn Express & Suites Chatsworth,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d76458-Reviews-Holiday_Inn_Express_Suites_Chatsworth-Los_Angeles_California.html
139,140,Ramada by Wyndham Los Angeles/Downtown West,3 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1225375-Reviews-Ramada_by_Wyndham_Los_Angeles_Downtown_West-Los_Angeles_California.html
140,141,"818 Hotel + Pool, an Ascend Hotel Collection Member",3 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d82684-Reviews-818_Hotel_Pool_an_Ascend_Hotel_Collection_Member-Los_Angeles_California.html
141,142,Midtown Inn,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d4291560-Reviews-Midtown_Inn-Los_Angeles_California.html
142,143,Mid City Inn,5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d12842399-Reviews-Mid_City_Inn-Los_Angeles_California.html
143,144,Crescent Motel,4 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d271600-Reviews-Crescent_Motel-Los_Angeles_California.html
144,145,Flight Motel,4.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d1643539-Reviews-Flight_Motel-Los_Angeles_California.html
145,146,LAX Teresa B&B,3.5 of 5 bubbles,https://www.tripadvisor.com//Hotel_Review-g32655-d13474044-Reviews-LAX_Teresa_B_B-Los_Angeles_California.html
